id,dataset,population_id,unique_identifier,plot,previous_generation,line,genealogy,pedigree,rep,treatment,block,row,col,trial,env,ADAPT,DF,DPM,FeSEED,FLCOL,GH,MEHA,MT2H,PHI,PLHA,POM,POM_corrected,PSC,seed_weight_PHI,SW100,SCP,SDBR,SSC,SSZ,total_weight_PHI,TSW,YDHA,YDHPL,ZnSEED,col_f,row_f
9850,Pal18A_irr,65,18ACA00433.000,433,17ACA02533.000,AFR_298,0,0,R1,T189,B1,1,1,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,15.3,15.3,6,NA,46,NA,NA,NA,NA,NA,430.91,NA,NA,NA,1,1
9851,Pal18A_irr,65,18ACA00434.000,434,17ACA03817.000,SEF_060,0,0,R1,T192,B1,1,2,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,12.8,12.8,6,NA,24,NA,NA,NA,NA,NA,635.03,NA,2958.417574,NA,2,1
9852,Pal18A_irr,65,18ACA00435.000,435,17ACA02641.000,DAB_525,0,(KATB1xSAB618)X(SAB623xSAB627),R1,T44,B1,1,3,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,14,6,NA,45,NA,NA,NA,NA,NA,385.55,NA,NA,NA,3,1
9853,Pal18A_irr,65,18ACA00436.000,436,17ACA02289.000,DAB_902,0,SAB626xKATB9,R1,T1,B1,1,4,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,15,15,NA,NA,55,NA,NA,NA,NA,NA,358.34,NA,1824.528894,NA,4,1
9854,Pal18A_irr,65,18ACA00437.000,437,17ACC01967.000,MIB_465,0,0,R1,T334,B1,1,5,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,14,14,NA,NA,18,NA,NA,NA,NA,NA,426.38,NA,1767.917073,NA,5,1
9855,Pal18A_irr,65,18ACA00438.000,438,17ACC01829.000,DAA_017,AS  17540-9C F2-(CM)C-6C-(CM)C-(M)C,(SAB  659xSAA   17) X (SAP    1-15xDAB  528),R1,T212,B1,1,6,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,15.3,15.3,1,NA,47,NA,NA,NA,NA,NA,521.63,NA,2079.443624,NA,6,1
9856,Pal18A_irr,65,18ACA00439.000,439,17ACA03413.000,CMB_018,0,0,R1,T138,B1,1,7,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15.1,13.7,6,NA,49,NA,NA,2,NA,NA,176.9,NA,1507.763953,NA,7,1
9857,Pal18A_irr,65,18ACA00440.000,440,17ACA02805.000,DAB_617,0,SAB514xRMA69,R1,T67,B1,1,8,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13.8,13.8,6,NA,43,NA,NA,2,NA,NA,258.55,NA,3671.309787,NA,8,1
9858,Pal18A_irr,65,18ACA00441.000,441,17ACC01573.000,DAA_127,SA  26536-6C  F2-(CM)C-4C-(CM)C-(CM)C,DAD19 x (DAB66 x DAB555),R1,T323,B2,1,9,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,13.7,13.7,2,NA,44,NA,NA,6,NA,NA,281.23,NA,1296.645295,NA,9,1
9859,Pal18A_irr,65,18ACA00442.000,442,17ACA03577.000,DAN_037,NA26682-26CF2-(CM)C-10C-(CM)C-(M)C,(NUA537xMAZ21)xDAB441,R1,T153,B2,1,10,trial1,irrigated,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,14.5,14.5,2,NA,49,NA,NA,6,NA,NA,299.37,NA,1873.963372,NA,10,1
